date,week,userId,attendTime,leaveTime
20170105,THU,u00000,08:41,19:29
20170105,THU,u00001,08:52,20:09
20170105,THU,u00002,08:44,18:37
20170105,THU,u00003,08:56,23:31
20170105,THU,u00004,08:30,19:59
20170105,THU,u00005,08:32,18:58
20170105,THU,u00006,08:45,18:22
20170105,THU,u00007,08:38,18:25
20170105,THU,u00008,08:54,22:45
20170105,THU,u00009,08:50,19:46
20170105,THU,u00010,08:55,17:55
20170105,THU,u00011,08:59,17:46
20170105,THU,u00012,08:33,17:56
20170105,THU,u00013,08:36,22:42
20170105,THU,u00014,08:59,18:46
20170105,THU,u00015,08:49,20:56
20170105,THU,u00016,08:44,20:59
20170105,THU,u00017,08:33,18:44
20170105,THU,u00018,08:30,17:55
20170105,THU,u00019,08:31,18:54
20170105,THU,u00020,08:46,18:29
20170105,THU,u00021,08:51,17:46
20170105,THU,u00022,08:49,17:43
20170105,THU,u00023,08:57,19:44
20170105,THU,u00024,08:57,19:07
20170105,THU,u00025,08:50,18:58
20170105,THU,u00026,08:41,17:48
20170105,THU,u00027,08:53,17:48
20170105,THU,u00028,08:35,18:00
20170105,THU,u00029,08:46,19:45
20170105,THU,u00030,08:36,19:47
20170105,THU,u00031,08:50,20:58
20170105,THU,u00032,08:57,17:59
20170105,THU,u00033,08:47,18:14
20170105,THU,u00034,08:41,17:38
20170105,THU,u00035,08:56,18:50
20170105,THU,u00036,08:59,19:23
20170105,THU,u00037,08:51,18:02
20170105,THU,u00038,08:55,20:11
20170105,THU,u00039,08:48,21:46
20170105,THU,u00040,08:46,18:16
20170105,THU,u00041,08:56,18:45
20170105,THU,u00042,08:50,19:13
20170105,THU,u00043,08:45,17:53
20170105,THU,u00044,08:49,18:54
20170105,THU,u00045,08:36,21:50
20170105,THU,u00046,08:37,18:58
20170105,THU,u00047,08:44,17:52
20170105,THU,u00048,08:42,17:53
20170105,THU,u00049,08:58,18:07
20170105,THU,u00050,08:31,17:52
20170105,THU,u00051,08:59,22:53
20170105,THU,u00052,08:47,18:01
20170105,THU,u00053,08:57,19:51
20170105,THU,u00054,08:53,18:30
20170105,THU,u00055,08:50,22:48
20170105,THU,u00056,08:34,18:55
20170105,THU,u00057,08:59,18:20
20170105,THU,u00058,08:56,18:44
20170105,THU,u00059,08:53,17:40
20170105,THU,u00060,08:57,18:25
20170105,THU,u00061,08:57,19:48
20170105,THU,u00062,08:59,19:41
20170105,THU,u00063,08:47,20:15
20170105,THU,u00064,08:37,18:19
20170105,THU,u00065,08:32,17:37
20170105,THU,u00066,08:41,18:41
20170105,THU,u00067,08:51,18:38
20170105,THU,u00068,08:57,20:26
20170105,THU,u00069,08:31,21:20
20170105,THU,u00070,08:33,17:45
20170105,THU,u00071,08:48,17:31
20170105,THU,u00072,08:59,18:50
20170105,THU,u00073,08:40,17:35
20170105,THU,u00074,08:59,17:32
20170105,THU,u00075,08:48,18:34
20170105,THU,u00076,08:52,18:35
20170105,THU,u00077,08:52,21:20
20170105,THU,u00078,08:40,17:32
20170105,THU,u00079,08:39,22:24
20170105,THU,u00080,08:52,18:50
20170105,THU,u00081,08:39,20:43
20170105,THU,u00082,08:54,22:51
20170105,THU,u00083,08:52,18:28
20170105,THU,u00084,08:33,19:24
20170105,THU,u00085,08:32,18:28
20170105,THU,u00086,08:52,20:33
20170105,THU,u00087,08:46,17:47
20170105,THU,u00088,08:46,18:34
20170105,THU,u00089,08:47,17:59
20170105,THU,u00090,08:46,19:08
20170105,THU,u00091,08:31,18:33
20170105,THU,u00092,08:51,17:46
20170105,THU,u00093,08:57,18:49
20170105,THU,u00094,08:55,21:48
20170105,THU,u00095,08:40,19:56
20170105,THU,u00096,08:49,19:59
20170105,THU,u00097,08:53,17:54
20170105,THU,u00098,08:43,18:22
20170105,THU,u00099,08:38,21:38
20170106,FRI,u00000,08:39,18:11
20170106,FRI,u00001,08:51,17:59
20170106,FRI,u00002,08:37,18:53
20170106,FRI,u00003,08:46,18:14
20170106,FRI,u00004,08:55,18:33
20170106,FRI,u00005,08:51,19:33
20170106,FRI,u00006,08:54,18:29
20170106,FRI,u00007,08:43,17:33
20170106,FRI,u00008,08:48,17:44
20170106,FRI,u00009,08:30,19:12
20170106,FRI,u00010,08:52,18:04
20170106,FRI,u00011,08:30,17:37
20170106,FRI,u00012,08:44,20:37
20170106,FRI,u00013,08:55,19:51
20170106,FRI,u00014,08:40,21:33
20170106,FRI,u00015,08:49,20:01
20170106,FRI,u00016,08:30,20:33
20170106,FRI,u00017,08:52,18:02
20170106,FRI,u00018,08:39,17:55
20170106,FRI,u00019,08:31,17:45
